Customer_ID,Customer_Name,Gender,Age_Group,Membership_Type,City,State,Region,Customer_Segment
C0030,Customer_30,Female,26-35,Silver,Chennai,Tamil Nadu,South,Retail
C0031,Customer_31,Male,18-25,Platinum,Vijayawada,Andhra Pradesh,South,Corporate
C0032,Customer_32,Male,26-35,Platinum,Bengaluru,Karnataka,South,Corporate
C0033,Customer_33,Male,36-45,Platinum,Bhubaneswar,Odisha,East,Corporate
C0034,Customer_34,Male,36-45,Gold,Mumbai,Maharashtra,West,Corporate
C0035,Customer_35,Female,18-25,Silver,Lucknow,Uttar Pradesh,North,Retail
C0036,Customer_36,Female,18-25,Platinum,Bengaluru,Karnataka,South,Retail
C0037,Customer_37,Male,18-25,Silver,Vijayawada,Andhra Pradesh,South,Retail
C0038,Customer_38,Male,18-25,Gold,Mumbai,Maharashtra,West,Retail
C0039,Customer_39,Male,36-45,Platinum,Bhubaneswar,Odisha,East,Corporate
C0040,Customer_40,Male,46-60,Silver,Mumbai,Maharashtra,West,Corporate
C0041,Customer_41,Male,18-25,Silver,Ahmedabad,Gujarat,West,Corporate
C0042,Customer_42,Female,46-60,Gold,Chennai,Tamil Nadu,South,Retail
C0043,Customer_43,Male,46-60,Platinum,Bengaluru,Karnataka,South,Corporate
C0044,Customer_44,Male,26-35,Silver,Bengaluru,Karnataka,South,Corporate
C0045,Customer_45,Female,26-35,Gold,Delhi,Delhi,North,Corporate
C0046,Customer_46,Male,46-60,Platinum,Mumbai,Maharashtra,West,Retail
C0047,Customer_47,Male,18-25,Silver,Hyderabad,Telangana,South,Retail
C0048,Customer_48,Female,46-60,Silver,Ahmedabad,Gujarat,West,Corporate
C0049,Customer_49,Male,46-60,Silver,Hyderabad,Telangana,South,Corporate
C0050,Customer_50,Female,36-45,Gold,Kolkata,West Bengal,East,Corporate
C0051,Customer_51,Male,36-45,Silver,Delhi,Delhi,North,Retail
C0052,Customer_52,Male,36-45,Silver,Vijayawada,Andhra Pradesh,South,Retail
C0053,Customer_53,Female,26-35,Silver,Vijayawada,Andhra Pradesh,South,Retail
C0054,Customer_54,Male,18-25,Platinum,Delhi,Delhi,North,Retail
C0055,Customer_55,Male,26-35,Platinum,Ahmedabad,Gujarat,West,Retail
C0056,Customer_56,Male,46-60,Platinum,Vijayawada,Andhra Pradesh,South,Corporate
C0057,Customer_57,Male,36-45,Silver,Kolkata,West Bengal,East,Corporate
C0058,Customer_58,Male,36-45,Gold,Ahmedabad,Gujarat,West,Corporate
C0059,Customer_59,Male,46-60,Platinum,Bengaluru,Karnataka,South,Retail
C0060,Customer_60,Male,36-45,Silver,Bengaluru,Karnataka,South,Corporate
C0061,Customer_61,Male,36-45,Gold,Bengaluru,Karnataka,South,Retail
C0062,Customer_62,Female,18-25,Platinum,Lucknow,Uttar Pradesh,North,Corporate
C0063,Customer_63,Male,36-45,Silver,Bengaluru,Karnataka,South,Retail
C0064,Customer_64,Male,36-45,Gold,Bhubaneswar,Odisha,East,Retail
C0065,Customer_65,Male,36-45,Platinum,Chennai,Tamil Nadu,South,Corporate
C0066,Customer_66,Male,18-25,Platinum,Kolkata,West Bengal,East,Corporate
C0067,Customer_67,Male,18-25,Gold,Kolkata,West Bengal,East,Retail
C0068,Customer_68,Male,46-60,Platinum,Kolkata,West Bengal,East,Corporate
C0069,Customer_69,Male,18-25,Silver,Bhubaneswar,Odisha,East,Retail
C0070,Customer_70,Male,36-45,Platinum,Bhubaneswar,Odisha,East,Retail
C0071,Customer_71,Male,18-25,Gold,Ahmedabad,Gujarat,West,Corporate
C0072,Customer_72,Female,26-35,Platinum,Hyderabad,Telangana,South,Retail
C0073,Customer_73,Female,46-60,Platinum,Bengaluru,Karnataka,South,Retail
C0074,Customer_74,Male,26-35,Gold,Mumbai,Maharashtra,West,Retail
C0075,Customer_75,Female,46-60,Platinum,Delhi,Delhi,North,Retail
C0076,Customer_76,Male,18-25,Gold,Kolkata,West Bengal,East,Retail
C0077,Customer_77,Male,26-35,Gold,Lucknow,Uttar Pradesh,North,Corporate
C0078,Customer_78,Male,26-35,Silver,Kolkata,West Bengal,East,Retail
C0079,Customer_79,Female,36-45,Silver,Ahmedabad,Gujarat,West,Corporate
C0080,Customer_80,Female,36-45,Silver,Chennai,Tamil Nadu,South,Retail
C0081,Customer_81,Male,36-45,Silver,Kolkata,West Bengal,East,Retail
C0082,Customer_82,Female,36-45,Platinum,Vijayawada,Andhra Pradesh,South,Corporate
C0083,Customer_83,Male,46-60,Platinum,Ahmedabad,Gujarat,West,Retail
C0084,Customer_84,Male,46-60,Silver,Kolkata,West Bengal,East,Retail
C0085,Customer_85,Female,18-25,Platinum,Chennai,Tamil Nadu,South,Corporate
C0086,Customer_86,Female,18-25,Platinum,Vijayawada,Andhra Pradesh,South,Corporate
C0087,Customer_87,Female,46-60,Gold,Bhubaneswar,Odisha,East,Corporate
C0088,Customer_88,Male,26-35,Gold,Kolkata,West Bengal,East,Corporate
C0089,Customer_89,Female,46-60,Platinum,Delhi,Delhi,North,Retail
C0090,Customer_90,Female,26-35,Gold,Kolkata,West Bengal,East,Corporate
C0091,Customer_91,Female,46-60,Platinum,Lucknow,Uttar Pradesh,North,Retail
C0092,Customer_92,Female,26-35,Platinum,Bhubaneswar,Odisha,East,Retail
C0093,Customer_93,Female,18-25,Silver,Kolkata,West Bengal,East,Corporate
C0094,Customer_94,Male,26-35,Silver,Mumbai,Maharashtra,West,Retail
C0095,Customer_95,Female,18-25,Gold,Mumbai,Maharashtra,West,Corporate
C0096,Customer_96,Male,46-60,Gold,Vijayawada,Andhra Pradesh,South,Corporate
C0097,Customer_97,Male,18-25,Silver,Mumbai,Maharashtra,West,Corporate
C0098,Customer_98,Male,46-60,Silver,Mumbai,Maharashtra,West,Retail
C0099,Customer_99,Female,26-35,Gold,Bengaluru,Karnataka,South,Corporate
C0100,Customer_100,Female,46-60,Silver,Lucknow,Uttar Pradesh,North,Corporate
