Inventory_ID,Inventory_Date,Product_ID,Store_ID,Opening_Stock,Stock_Received,Stock_Sold,Closing_Stock,Reorder_Level
I0070,2025-01-10,P0025,S004,159,32,185,6,34
I0071,2025-06-25,P0050,S002,36,20,9,47,20
I0072,2025-01-16,P0034,S009,69,61,89,41,25
I0073,2025-07-26,P0025,S007,46,65,99,12,21
I0074,2025-10-28,P0011,S004,178,81,247,12,38
I0075,2025-10-13,P0045,S002,78,84,126,36,39
I0076,2025-04-12,P0030,S007,102,82,94,90,16
I0077,2025-01-09,P0003,S008,68,0,45,23,36
I0078,2025-01-04,P0024,S006,126,95,214,7,25
I0079,2025-10-15,P0030,S002,54,12,66,0,39
I0080,2025-10-11,P0008,S010,54,60,63,51,32
I0081,2025-11-23,P0047,S006,50,79,8,121,25
I0082,2025-01-20,P0016,S005,157,54,75,136,18
I0083,2025-05-13,P0004,S005,190,17,178,29,27
I0084,2025-09-29,P0010,S005,107,52,19,140,26
I0085,2025-07-28,P0005,S008,98,94,76,116,15
I0086,2025-02-17,P0002,S005,103,23,91,35,19
I0087,2025-02-28,P0034,S010,173,12,92,93,18
I0088,2025-10-23,P0017,S006,101,15,23,93,21
I0089,2025-06-09,P0038,S002,79,6,35,50,39
I0090,2025-10-10,P0036,S009,40,91,76,55,36
I0091,2025-06-09,P0020,S002,123,96,10,209,28
I0092,2025-03-12,P0006,S006,88,94,13,169,17
I0093,2025-01-22,P0007,S010,21,13,30,4,30
I0094,2025-03-23,P0024,S007,158,13,67,104,33
I0095,2025-04-05,P0036,S004,40,42,21,61,35
I0096,2025-04-22,P0037,S002,181,2,120,63,38
I0097,2025-05-03,P0046,S003,63,94,130,27,28
I0098,2025-09-10,P0001,S009,89,73,48,114,32
I0099,2025-12-08,P0016,S001,130,27,156,1,27
I0100,2025-07-27,P0013,S009,94,44,34,104,33
I0101,2025-11-12,P0027,S010,93,34,63,64,18
I0102,2025-09-12,P0046,S007,85,82,154,13,15
I0103,2025-05-10,P0008,S007,171,24,191,4,37
I0104,2025-03-03,P0009,S010,67,82,148,1,36
I0105,2025-01-24,P0016,S003,30,29,15,44,38
I0106,2025-02-27,P0005,S007,54,27,35,46,33
I0107,2025-07-31,P0001,S004,48,89,3,134,18
I0108,2025-11-28,P0022,S004,134,18,37,115,40
I0109,2025-12-04,P0008,S006,103,52,96,59,31
I0110,2025-11-22,P0044,S005,133,84,51,166,19
I0111,2025-09-08,P0014,S007,110,24,62,72,30
I0112,2025-08-10,P0018,S007,32,32,0,64,29
I0113,2025-09-26,P0011,S001,35,95,117,13,24
I0114,2025-05-26,P0014,S007,48,36,18,66,23
I0115,2025-02-03,P0012,S007,23,60,67,16,33
I0116,2025-08-19,P0030,S006,97,82,57,122,21
I0117,2025-03-24,P0045,S005,142,49,69,122,30
I0118,2025-05-01,P0015,S008,54,2,49,7,35
I0119,2025-11-25,P0032,S007,76,70,130,16,19
I0120,2025-12-20,P0008,S005,114,66,65,115,18
I0121,2025-01-11,P0018,S009,99,95,103,91,17
I0122,2025-05-06,P0037,S002,81,36,32,85,39
I0123,2025-09-29,P0043,S009,177,73,204,46,20
I0124,2025-01-11,P0041,S008,155,0,38,117,25
I0125,2025-01-01,P0050,S009,127,72,87,112,30
I0126,2025-08-06,P0013,S003,47,93,78,62,23
I0127,2025-07-25,P0045,S005,170,25,160,35,36
I0128,2025-07-14,P0039,S010,164,45,24,185,30
I0129,2025-06-22,P0040,S004,82,41,5,118,26
I0130,2025-04-27,P0031,S004,156,42,126,72,28
I0131,2025-10-17,P0036,S001,196,9,26,179,19
I0132,2025-07-31,P0015,S007,31,26,29,28,32
I0133,2025-03-11,P0048,S002,46,87,112,21,22
I0134,2025-01-19,P0048,S004,75,47,12,110,23
I0135,2025-11-26,P0001,S010,124,15,71,68,33
I0136,2025-11-10,P0029,S004,43,43,30,56,18
I0137,2025-11-19,P0006,S005,173,68,191,50,39
I0138,2025-10-05,P0016,S001,141,88,70,159,20
I0139,2025-06-19,P0043,S001,145,27,105,67,18
I0140,2025-05-23,P0006,S009,169,29,147,51,15
I0141,2025-10-12,P0028,S006,111,96,115,92,37
I0142,2025-01-11,P0011,S001,44,80,73,51,36
I0143,2025-01-24,P0018,S004,64,20,29,55,38
I0144,2025-06-01,P0012,S004,73,25,16,82,29
I0145,2025-01-17,P0004,S008,77,79,34,122,18
I0146,2025-06-03,P0047,S004,113,80,193,0,36
I0147,2025-08-31,P0028,S003,196,8,40,164,27
I0148,2025-03-31,P0001,S003,115,4,68,51,36
I0149,2025-04-19,P0027,S002,41,97,40,98,17
I0150,2025-12-25,P0010,S007,47,55,29,73,20
I0151,2025-10-30,P0018,S009,162,86,135,113,33
I0152,2025-12-05,P0022,S008,60,76,136,0,33
I0153,2025-05-23,P0014,S008,128,22,113,37,25
I0154,2025-04-11,P0017,S010,74,93,5,162,27
I0155,2025-10-25,P0019,S007,157,59,23,193,18
I0156,2025-12-25,P0045,S003,33,29,47,15,32
I0157,2025-10-25,P0008,S009,142,50,166,26,37
I0158,2025-10-03,P0048,S003,33,66,23,76,22
I0159,2025-10-06,P0009,S004,32,65,77,20,17
I0160,2025-09-26,P0016,S009,161,10,86,85,32
I0161,2025-04-02,P0006,S005,86,42,34,94,16
I0162,2025-12-24,P0028,S008,72,17,28,61,35
I0163,2025-02-06,P0006,S009,57,79,113,23,28
I0164,2025-08-24,P0047,S009,40,94,82,52,20
I0165,2025-01-06,P0044,S005,106,3,4,105,39
I0166,2025-03-26,P0002,S001,27,10,20,17,39
I0167,2025-04-08,P0048,S010,40,10,44,6,30
I0168,2025-01-30,P0007,S008,157,82,95,144,40
I0169,2025-06-30,P0041,S010,26,92,19,99,25
I0170,2025-05-30,P0025,S002,149,82,74,157,23
I0171,2025-12-09,P0011,S002,159,18,153,24,33
I0172,2025-02-09,P0035,S008,93,62,133,22,19
I0173,2025-01-22,P0012,S005,148,79,201,26,25
I0174,2025-08-28,P0025,S008,30,64,55,39,15
I0175,2025-05-06,P0003,S010,32,0,16,16,27
I0176,2025-05-21,P0023,S006,42,46,66,22,31
I0177,2025-05-01,P0010,S007,116,72,31,157,28
I0178,2025-07-09,P0010,S005,150,29,82,97,36
I0179,2025-10-23,P0004,S006,99,21,100,20,27
I0180,2025-11-17,P0047,S001,161,91,10,242,30
I0181,2025-11-05,P0004,S007,73,30,52,51,34
I0182,2025-01-09,P0036,S008,178,45,201,22,39
I0183,2025-02-01,P0040,S009,67,16,8,75,23
I0184,2025-03-05,P0004,S002,120,32,135,17,32
I0185,2025-11-26,P0034,S001,86,80,66,100,20
I0186,2025-04-10,P0036,S008,147,31,132,46,27
I0187,2025-07-24,P0046,S004,155,82,16,221,23
I0188,2025-12-23,P0016,S003,192,8,36,164,27
I0189,2025-07-28,P0040,S005,63,66,78,51,24
I0190,2025-07-08,P0011,S001,82,53,33,102,38
I0191,2025-06-08,P0047,S009,130,27,26,131,39
I0192,2025-05-30,P0017,S002,138,5,99,44,35
I0193,2025-05-29,P0025,S003,110,96,95,111,16
I0194,2025-06-24,P0012,S007,78,92,94,76,32
I0195,2025-01-12,P0044,S003,95,24,110,9,36
I0196,2025-05-24,P0006,S008,116,39,105,50,24
I0197,2025-04-26,P0033,S010,155,64,5,214,38
I0198,2025-09-23,P0007,S006,81,71,128,24,20
I0199,2025-12-23,P0018,S006,54,59,78,35,16
I0200,2025-05-30,P0044,S006,29,37,7,59,22
I0201,2025-04-10,P0014,S004,73,97,90,80,31
I0202,2025-07-22,P0017,S010,100,90,31,159,38
I0203,2025-12-31,P0015,S003,46,11,6,51,34
I0204,2025-03-05,P0030,S009,139,92,224,7,32
I0205,2025-02-16,P0004,S010,70,30,75,25,35
I0206,2025-07-27,P0044,S004,146,27,34,139,35
I0207,2025-02-09,P0021,S004,30,52,4,78,17
I0208,2025-06-17,P0049,S010,149,63,194,18,27
I0209,2025-10-10,P0007,S008,148,52,199,1,38
I0210,2025-01-14,P0034,S001,22,23,13,32,40
I0211,2025-02-27,P0002,S010,47,42,53,36,32
I0212,2025-12-19,P0009,S010,154,1,62,93,27
I0213,2025-05-16,P0022,S008,183,89,254,18,38
I0214,2025-01-02,P0019,S010,50,92,106,36,34
I0215,2025-06-27,P0044,S004,120,47,156,11,19
I0216,2025-03-05,P0004,S002,99,77,18,158,31
I0217,2025-05-30,P0041,S010,93,13,69,37,22
I0218,2025-01-14,P0015,S007,155,61,87,129,33
I0219,2025-04-21,P0009,S007,69,21,20,70,34
I0220,2025-08-20,P0039,S009,57,9,30,36,23
I0221,2025-05-11,P0022,S006,127,9,23,113,16
I0222,2025-07-28,P0045,S005,53,66,68,51,38
I0223,2025-05-02,P0003,S006,181,2,86,97,30
I0224,2025-09-23,P0026,S007,131,95,11,215,37
I0225,2025-01-10,P0007,S002,52,54,99,7,16
I0226,2025-07-19,P0013,S001,153,26,92,87,27
I0227,2025-12-17,P0039,S002,26,49,19,56,29
I0228,2025-04-22,P0005,S006,74,12,22,64,23
I0229,2025-10-09,P0022,S006,33,55,65,23,20
I0230,2025-09-06,P0028,S010,47,62,80,29,28
I0231,2025-04-18,P0049,S009,184,18,159,43,31
I0232,2025-06-05,P0017,S005,30,14,15,29,32
I0233,2025-06-25,P0001,S009,134,99,49,184,24
I0234,2025-07-28,P0016,S008,190,70,69,191,16
I0235,2025-03-05,P0014,S004,185,47,157,75,16
I0236,2025-01-10,P0007,S006,135,88,177,46,34
I0237,2025-12-29,P0004,S009,114,72,148,38,17
I0238,2025-08-20,P0019,S005,166,23,4,185,23
I0239,2025-12-28,P0038,S003,123,96,153,66,33
I0240,2025-07-12,P0040,S007,179,73,206,46,39
I0241,2025-11-04,P0043,S005,161,82,154,89,38
I0242,2025-03-16,P0047,S008,42,66,37,71,32
I0243,2025-05-08,P0024,S010,118,81,145,54,19
I0244,2025-09-14,P0022,S010,46,37,2,81,24
I0245,2025-02-25,P0037,S010,69,22,24,67,20
I0246,2025-08-09,P0050,S004,95,99,36,158,27
I0247,2025-12-25,P0037,S009,34,52,79,7,15
I0248,2025-03-02,P0036,S008,59,50,81,28,29
I0249,2025-03-31,P0049,S007,27,82,56,53,38
I0250,2025-09-24,P0014,S005,163,92,116,139,34
I0251,2025-11-29,P0015,S006,191,84,185,90,22
I0252,2025-05-26,P0034,S003,188,71,8,251,15
I0253,2025-12-22,P0023,S007,189,15,36,168,33
I0254,2025-03-17,P0040,S007,107,3,70,40,27
I0255,2025-08-11,P0038,S006,159,86,37,208,36
I0256,2025-07-13,P0018,S002,160,48,146,62,26
I0257,2025-09-04,P0027,S002,75,1,71,5,40
I0258,2025-04-08,P0028,S002,192,87,74,205,40
I0259,2025-03-03,P0034,S006,166,43,192,17,23
I0260,2025-05-04,P0013,S005,122,69,38,153,33
I0261,2025-01-21,P0050,S005,150,34,160,24,15
I0262,2025-12-08,P0011,S008,77,0,0,77,31
I0263,2025-01-29,P0028,S010,120,49,16,153,18
I0264,2025-02-11,P0049,S007,148,25,19,154,36
I0265,2025-02-03,P0013,S010,105,3,6,102,27
I0266,2025-02-11,P0034,S001,176,82,142,116,24
I0267,2025-01-28,P0041,S010,38,94,82,50,29
I0268,2025-10-26,P0027,S003,181,66,50,197,29
I0269,2025-07-08,P0042,S007,180,18,12,186,22
I0270,2025-08-14,P0041,S005,89,2,63,28,29
I0271,2025-08-18,P0039,S005,120,20,14,126,19
I0272,2025-11-02,P0047,S007,125,85,33,177,19
I0273,2025-11-17,P0023,S001,162,11,125,48,30
I0274,2025-05-15,P0025,S001,61,72,17,116,15
I0275,2025-02-04,P0026,S009,192,68,134,126,21
I0276,2025-03-09,P0013,S004,136,29,22,143,25
I0277,2025-02-25,P0023,S003,71,44,51,64,29
I0278,2025-03-26,P0035,S002,138,1,52,87,36
I0279,2025-07-14,P0007,S002,174,20,0,194,18
I0280,2025-03-09,P0015,S007,80,65,81,64,29
I0281,2025-03-04,P0032,S009,166,44,96,114,21
I0282,2025-06-01,P0014,S008,39,85,69,55,24
I0283,2025-03-28,P0017,S010,32,92,123,1,33
I0284,2025-09-19,P0021,S001,56,50,37,69,16
I0285,2025-05-02,P0007,S007,90,36,6,120,29
I0286,2025-10-01,P0014,S005,46,50,60,36,18
I0287,2025-03-29,P0010,S008,147,85,131,101,20
I0288,2025-09-09,P0005,S001,61,81,23,119,33
I0289,2025-05-14,P0035,S003,46,80,24,102,31
I0290,2025-09-09,P0027,S003,166,69,87,148,40
I0291,2025-04-29,P0047,S010,132,29,109,52,32
I0292,2025-12-15,P0016,S002,151,22,139,34,25
I0293,2025-01-12,P0027,S001,106,29,115,20,30
I0294,2025-08-08,P0045,S010,159,92,162,89,27
I0295,2025-02-01,P0044,S002,136,61,179,18,27
I0296,2025-01-08,P0032,S004,123,66,37,152,26
I0297,2025-02-13,P0049,S001,116,69,36,149,36
I0298,2025-06-17,P0011,S003,77,80,89,68,36
I0299,2025-07-07,P0011,S002,120,86,168,38,15
I0300,2025-12-18,P0050,S006,158,57,26,189,23
I0301,2025-09-25,P0026,S010,58,93,18,133,35
I0302,2025-06-17,P0050,S003,38,73,17,94,33
I0303,2025-10-30,P0026,S008,172,5,142,35,32
I0304,2025-10-07,P0050,S005,80,55,73,62,15
I0305,2025-11-06,P0011,S003,29,42,4,67,37
I0306,2025-11-03,P0047,S004,189,69,221,37,37
I0307,2025-03-08,P0045,S005,149,37,165,21,24
I0308,2025-11-19,P0039,S006,176,65,141,100,17
I0309,2025-11-17,P0042,S002,92,44,115,21,32
I0310,2025-08-14,P0033,S008,29,88,83,34,17
I0311,2025-08-18,P0023,S003,80,69,102,47,27
I0312,2025-01-14,P0031,S004,158,98,95,161,34
I0313,2025-11-11,P0029,S005,117,99,19,197,17
I0314,2025-09-10,P0047,S008,146,78,136,88,27
I0315,2025-08-12,P0035,S003,179,73,234,18,31
I0316,2025-10-23,P0032,S003,53,40,66,27,21
I0317,2025-12-15,P0032,S001,184,68,81,171,31
I0318,2025-11-17,P0001,S007,184,23,174,33,40
I0319,2025-01-16,P0016,S006,33,89,34,88,36
I0320,2025-06-19,P0024,S007,117,93,158,52,36
I0321,2025-03-27,P0030,S010,29,3,7,25,23
I0322,2025-05-09,P0035,S003,107,47,68,86,20
I0323,2025-04-11,P0034,S007,137,75,100,112,19
I0324,2025-05-07,P0023,S010,95,23,81,37,35
I0325,2025-04-24,P0009,S009,167,34,100,101,21
I0326,2025-03-26,P0035,S010,46,43,51,38,23
I0327,2025-09-05,P0006,S006,67,68,86,49,20
I0328,2025-07-26,P0022,S007,62,73,43,92,33
I0329,2025-12-18,P0015,S004,107,67,155,19,26
I0330,2025-12-30,P0007,S004,149,13,143,19,27
I0331,2025-09-23,P0024,S006,26,82,62,46,23
I0332,2025-06-14,P0025,S009,103,2,78,27,39
I0333,2025-04-10,P0032,S005,86,28,0,114,24
I0334,2025-10-23,P0041,S010,50,86,131,5,17
I0335,2025-01-25,P0008,S008,173,61,42,192,21
I0336,2025-01-20,P0034,S006,168,30,68,130,17
I0337,2025-06-16,P0024,S004,120,39,22,137,24
I0338,2025-02-24,P0030,S002,103,41,51,93,21
I0339,2025-08-03,P0047,S003,113,79,54,138,30
I0340,2025-08-18,P0047,S009,44,30,54,20,25
I0341,2025-12-23,P0003,S001,178,34,38,174,35
I0342,2025-04-01,P0007,S005,42,4,22,24,29
I0343,2025-09-26,P0025,S010,155,15,151,19,30
I0344,2025-09-02,P0036,S001,174,93,67,200,15
I0345,2025-09-27,P0018,S006,53,30,65,18,32
I0346,2025-06-19,P0050,S006,122,20,35,107,32
I0347,2025-10-26,P0050,S007,126,7,83,50,31
I0348,2025-06-02,P0027,S008,157,56,71,142,20
I0349,2025-06-22,P0009,S008,200,43,130,113,38
I0350,2025-10-29,P0043,S005,158,80,86,152,28
I0351,2025-09-15,P0024,S006,177,36,45,168,19
I0352,2025-12-21,P0020,S010,50,10,51,9,28
I0353,2025-01-22,P0022,S001,54,0,2,52,19
I0354,2025-11-28,P0020,S006,183,29,150,62,22
I0355,2025-06-16,P0005,S004,53,82,29,106,25
I0356,2025-09-04,P0005,S004,21,41,21,41,16
I0357,2025-10-12,P0034,S004,182,81,217,46,38
I0358,2025-09-24,P0012,S002,92,38,72,58,31
I0359,2025-09-09,P0040,S007,118,75,158,35,19
I0360,2025-08-14,P0032,S004,128,57,163,22,38
I0361,2025-03-08,P0019,S007,58,95,1,152,26
I0362,2025-02-05,P0033,S003,114,36,53,97,31
I0363,2025-04-08,P0014,S003,159,13,34,138,17
I0364,2025-01-04,P0009,S004,175,18,165,28,35
I0365,2025-01-05,P0020,S010,43,7,24,26,17
I0366,2025-03-23,P0034,S004,126,33,125,34,21
I0367,2025-09-30,P0046,S009,138,44,6,176,20
I0368,2025-02-14,P0050,S008,123,66,180,9,36
I0369,2025-08-26,P0030,S003,66,44,61,49,25
I0370,2025-09-05,P0017,S006,163,80,68,175,19
I0371,2025-03-14,P0025,S003,166,4,83,87,34
I0372,2025-07-15,P0006,S009,191,94,232,53,36
I0373,2025-10-09,P0036,S004,46,50,6,90,20
I0374,2025-03-31,P0046,S008,50,82,120,12,17
I0375,2025-04-22,P0030,S004,70,56,100,26,33
I0376,2025-04-04,P0042,S010,67,3,41,29,20
I0377,2025-07-30,P0010,S010,165,78,54,189,20
I0378,2025-02-08,P0007,S007,103,84,149,38,35
I0379,2025-05-02,P0020,S004,161,70,36,195,20
I0380,2025-10-23,P0021,S006,199,31,202,28,32
I0381,2025-08-02,P0014,S006,162,39,68,133,18
I0382,2025-07-21,P0032,S008,146,28,41,133,24
I0383,2025-05-10,P0016,S001,166,42,66,142,33
I0384,2025-04-03,P0050,S008,176,91,59,208,29
I0385,2025-10-20,P0039,S010,132,0,47,85,20
I0386,2025-05-07,P0029,S002,61,7,42,26,36
I0387,2025-02-27,P0039,S008,154,63,184,33,21
I0388,2025-03-08,P0032,S006,55,74,62,67,19
I0389,2025-01-28,P0002,S002,54,46,50,50,32
I0390,2025-10-11,P0013,S003,29,5,16,18,30
I0391,2025-10-19,P0039,S008,152,64,129,87,29
I0392,2025-12-08,P0023,S004,197,94,190,101,31
I0393,2025-07-21,P0023,S003,80,81,136,25,16
I0394,2025-06-04,P0049,S001,71,2,35,38,22
I0395,2025-02-26,P0025,S002,166,73,82,157,29
I0396,2025-02-17,P0005,S006,61,26,73,14,15
I0397,2025-10-28,P0050,S003,184,73,85,172,38
I0398,2025-09-02,P0023,S001,43,38,25,56,23
I0399,2025-01-03,P0042,S009,69,7,25,51,33
I0400,2025-02-17,P0027,S008,41,26,63,4,34
I0401,2025-03-19,P0008,S003,121,6,38,89,18
I0402,2025-07-29,P0014,S003,50,87,117,20,29
I0403,2025-12-11,P0049,S003,33,14,38,9,17
I0404,2025-03-08,P0008,S002,117,51,26,142,20
I0405,2025-08-17,P0003,S002,178,92,16,254,19
I0406,2025-08-13,P0047,S006,189,95,270,14,22
I0407,2025-10-20,P0013,S010,74,4,37,41,21
I0408,2025-12-05,P0028,S007,106,26,3,129,20
I0409,2025-05-25,P0030,S005,153,13,38,128,20
I0410,2025-12-16,P0007,S002,92,2,71,23,27
I0411,2025-10-23,P0041,S009,55,43,1,97,36
I0412,2025-07-12,P0021,S003,58,76,73,61,19
I0413,2025-06-29,P0002,S010,69,89,93,65,38
I0414,2025-12-08,P0025,S002,187,0,54,133,33
I0415,2025-09-12,P0039,S006,52,99,149,2,15
I0416,2025-03-14,P0050,S002,78,58,30,106,23
I0417,2025-10-04,P0013,S007,111,70,83,98,26
I0418,2025-05-13,P0025,S005,53,27,3,77,17
I0419,2025-01-28,P0048,S003,26,18,30,14,28
I0420,2025-04-29,P0008,S006,177,20,122,75,32
I0421,2025-11-14,P0032,S005,35,21,38,18,16
I0422,2025-01-12,P0029,S002,130,54,151,33,28
I0423,2025-11-29,P0015,S003,52,36,67,21,18
I0424,2025-12-17,P0022,S006,86,20,105,1,35
I0425,2025-01-17,P0042,S001,76,89,73,92,22
I0426,2025-07-27,P0004,S002,24,78,46,56,30
I0427,2025-11-15,P0037,S008,114,54,78,90,17
I0428,2025-07-10,P0024,S008,171,86,178,79,24
I0429,2025-02-24,P0028,S003,83,32,61,54,19
I0430,2025-01-23,P0017,S008,131,0,28,103,32
I0431,2025-04-17,P0004,S002,151,15,9,157,15
I0432,2025-08-19,P0048,S007,161,29,25,165,27
I0433,2025-09-22,P0018,S002,145,20,108,57,16
I0434,2025-08-18,P0035,S001,152,12,93,71,18
I0435,2025-06-25,P0010,S010,27,92,13,106,37
I0436,2025-01-22,P0004,S008,41,25,65,1,28
I0437,2025-12-31,P0029,S002,83,6,59,30,22
I0438,2025-09-29,P0022,S002,32,36,46,22,23
I0439,2025-02-28,P0032,S005,71,51,22,100,37
I0440,2025-04-04,P0013,S001,24,72,55,41,26
I0441,2025-08-07,P0035,S009,193,45,114,124,37
I0442,2025-04-15,P0028,S010,84,63,7,140,18
I0443,2025-11-07,P0036,S001,105,25,51,79,27
I0444,2025-08-12,P0011,S008,85,55,100,40,19
I0445,2025-05-04,P0006,S006,169,8,134,43,19
I0446,2025-05-17,P0045,S008,24,4,1,27,27
I0447,2025-11-17,P0027,S007,45,39,42,42,33
I0448,2025-10-29,P0002,S002,49,6,28,27,30
I0449,2025-01-11,P0043,S008,51,32,4,79,38
I0450,2025-10-10,P0042,S005,169,30,139,60,17
I0451,2025-10-21,P0046,S010,199,90,138,151,15
I0452,2025-06-12,P0021,S004,190,90,33,247,40
I0453,2025-09-14,P0012,S001,85,78,155,8,16
I0454,2025-07-22,P0038,S005,185,76,254,7,40
I0455,2025-11-28,P0039,S009,146,81,57,170,17
I0456,2025-03-03,P0013,S008,171,56,175,52,28
I0457,2025-02-22,P0025,S010,162,95,149,108,28
I0458,2025-05-27,P0025,S002,58,27,62,23,16
I0459,2025-04-30,P0032,S008,166,34,63,137,20
I0460,2025-12-19,P0049,S006,131,23,53,101,31
I0461,2025-10-19,P0043,S010,172,37,149,60,18
I0462,2025-03-26,P0040,S008,23,8,16,15,28
I0463,2025-01-27,P0043,S003,26,27,29,24,31
I0464,2025-07-30,P0030,S009,63,13,11,65,16
I0465,2025-02-18,P0011,S001,181,84,132,133,32
I0466,2025-11-11,P0006,S004,114,87,179,22,33
I0467,2025-08-18,P0033,S010,149,99,149,99,19
I0468,2025-11-17,P0008,S002,133,2,128,7,33
I0469,2025-07-24,P0019,S009,27,9,34,2,23
I0470,2025-08-20,P0020,S009,55,20,15,60,26
I0471,2025-09-17,P0034,S009,79,73,112,40,26
I0472,2025-01-14,P0029,S001,158,22,15,165,23
I0473,2025-08-31,P0035,S001,127,60,81,106,36
I0474,2025-02-13,P0006,S003,68,48,72,44,24
I0475,2025-03-22,P0039,S007,43,97,21,119,31
I0476,2025-12-10,P0032,S010,89,21,76,34,28
I0477,2025-07-20,P0036,S009,58,59,92,25,33
I0478,2025-05-17,P0043,S008,190,81,25,246,16
I0479,2025-05-13,P0038,S006,78,91,30,139,40
I0480,2025-08-07,P0006,S010,128,14,90,52,16
I0481,2025-09-07,P0032,S009,184,31,45,170,24
I0482,2025-07-13,P0044,S009,162,28,85,105,26
I0483,2025-11-25,P0007,S008,168,84,171,81,27
I0484,2025-08-04,P0012,S005,183,5,154,34,37
I0485,2025-10-07,P0041,S005,176,48,98,126,22
I0486,2025-05-17,P0047,S005,176,54,6,224,29
I0487,2025-01-06,P0033,S005,58,8,56,10,19
I0488,2025-03-23,P0036,S006,46,49,18,77,26
I0489,2025-10-05,P0038,S004,181,52,70,163,32
I0490,2025-04-24,P0009,S001,148,73,202,19,23
I0491,2025-04-27,P0035,S007,156,89,128,117,34
I0492,2025-09-03,P0003,S007,55,33,50,38,19
I0493,2025-02-04,P0049,S009,133,77,147,63,28
I0494,2025-02-07,P0002,S010,36,11,19,28,21
I0495,2025-04-15,P0008,S010,83,45,41,87,37
